東京都千代田区九段南4-8-24,日本大学会館（本部）
東京都千代田区神田三崎町2-3-1,法学部
東京都世田谷区桜上水3-25-40,文学部
東京都千代田区神田三崎町1-3-2,経済学部
東京都世田谷区砧5-2-1,商学部
東京都練馬区旭丘2-42-1,芸術学部(江古田)
埼玉県所沢市中富南4-21,芸術学部(所沢)
静岡県三島市文教町2-31-145,国際関係学部
東京都世田谷区下馬3-34-1,危機管理学部
東京都世田谷区下馬3-34-1,スポーツ科学部
東京都千代田区神田駿河台1-8-14,理工学部(駿河台)
千葉県船橋市習志野台7-24-1,理工学部(船橋)
千葉県習志野市泉町1-2-1,生産工学(津田沼)
千葉県習志野市新栄2-11-1,生産工学部(実籾)
福島県郡山市田村町徳定字中河原1,工学部
東京都板橋区大谷口上町30-1,医学部
東京都千代田区神田駿河台1-8-13,歯学部
千葉県松戸市栄町西2-870-1,松戸歯科
神奈川県藤沢市亀井野1866,生物資源科学部
千葉県船橋市習志野台7-7-1,薬学部
東京都千代田区九段南4-8-28,通信教育部
